generation_mode,fibro_typename,density,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
threshold,interstitial,0.09600,-1.57080,1,6.423420,19.737671,7.115034,5.400499,26.278688,12.063746,3.286002,33.652406,16.839554,0.736114,45.327128,21.645470,-0.981469,61.507743,27.797351,-3.508092,83.348605,38.438162,-3.244931,107.097619,59.990392,-7.318284,140.478544,97.502965,-1.102036,236.505786,147.225142
threshold,interstitial,0.09600,-1.57080,2,6.040159,20.481510,6.168967,5.009731,25.346069,10.806751,2.711246,32.020419,15.052599,2.270319,41.202190,19.855460,0.003563,54.633821,26.179623,0.110086,74.139496,36.778877,2.321637,96.690567,64.751066,1.789273,136.268603,99.579498,-1.764889,232.043184,150.757163
threshold,interstitial,0.09600,-1.57080,3,4.684264,26.780500,6.251893,5.233648,29.785400,10.699349,5.705005,36.651402,14.903743,5.600477,45.019894,19.721654,5.452778,57.622774,25.831331,5.958500,72.283026,37.681278,2.450407,92.675058,59.935606,-0.215260,132.372012,97.626282,0.540306,228.692006,150.142964
threshold,interstitial,0.09600,-1.57080,4,-4.518549,22.715331,6.422556,-3.927065,28.740827,11.195113,-2.256715,36.365387,15.837770,-1.818350,48.900142,20.468682,-0.092643,66.870316,26.443278,-0.122660,87.529738,38.190595,0.536641,110.086989,64.654105,-5.906836,148.124929,103.876499,2.701015,239.111680,153.563928
threshold,interstitial,0.09600,-1.57080,5,3.804623,22.483609,6.344826,3.487040,28.009495,11.037939,2.110193,37.131592,14.851615,0.953690,49.212760,19.064024,0.114248,64.689806,25.823438,-3.397990,83.921016,38.949354,-5.370567,104.942234,65.933398,0.952720,144.075446,102.068963,-2.946402,240.035912,149.941261
threshold,interstitial,0.09600,-1.57080,6,-2.913399,23.651906,5.787082,-3.049557,28.199447,9.590340,-3.894398,34.986378,13.501258,-4.214920,46.737355,16.812214,-3.680005,63.119236,21.251355,-3.488525,81.337832,31.057276,-2.406392,100.701023,52.453340,-0.262163,137.756614,88.691111,1.855488,230.016548,138.941922
threshold,interstitial,0.09600,-1.57080,7,-1.518480,20.650376,6.839665,-0.000000,26.187501,11.691764,-0.195962,34.995644,15.742250,-0.090267,45.536634,20.817079,0.233956,59.136853,28.808384,-2.342049,77.859307,41.945949,-4.194823,103.594215,64.263939,-2.146595,143.884047,99.641978,-0.896767,236.332044,152.303712
threshold,interstitial,0.09600,-1.57080,8,-4.803472,22.105693,6.376456,-3.721109,29.559719,10.432615,-3.749832,37.607476,14.595697,-3.322020,50.700098,18.368635,-3.749286,67.853150,23.741532,-4.766934,84.617273,35.453220,-5.543740,110.590975,55.791478,-3.377752,149.665119,90.947708,-0.488601,244.191118,139.430148
threshold,interstitial,0.09600,-1.57080,9,4.984259,26.696938,5.749026,6.279963,30.078310,9.748324,5.326668,36.354794,13.884183,4.647969,48.429921,17.523690,4.312726,65.718311,22.436298,4.369447,87.075534,31.982328,6.637358,105.919349,55.429184,3.961964,140.112672,93.230628,2.010027,238.072143,138.694409
threshold,interstitial,0.09600,-1.57080,10,-2.184139,24.011705,6.176045,-1.919409,28.230724,10.684587,-0.744875,36.253136,14.727432,0.611185,48.250568,18.690661,1.274296,66.215728,23.796713,0.704885,85.003868,35.365349,0.708137,106.020845,59.166970,8.637686,145.492219,94.628840,0.716224,241.116702,142.314752
threshold,interstitial,0.09600,-1.57080,11,10.945365,16.391983,6.226055,10.235491,22.423048,10.184075,8.775968,28.299073,14.364766,7.129567,37.747580,18.499289,6.054026,50.090070,24.803811,5.688307,66.271528,35.356520,4.177806,90.104360,54.431764,-5.354116,128.790181,89.036614,-0.743799,218.504469,142.012579
threshold,interstitial,0.09600,-1.57080,12,-1.087240,28.395338,7.082693,-1.730860,31.161801,11.059210,-2.459649,39.861093,15.094709,-2.971779,51.797792,19.379872,-1.911246,68.447305,25.602627,1.277556,83.955976,40.273103,-0.359348,106.169110,64.848651,5.827668,145.037645,101.187030,1.689939,240.964954,145.921364
threshold,interstitial,0.09600,-1.57080,13,-6.310262,17.679398,7.133855,-5.316573,25.446025,11.313797,-6.053673,33.319946,15.738509,-5.027833,45.069114,20.405731,-3.201144,60.107603,28.030721,-1.014410,76.250515,42.679340,0.455334,100.663671,64.192405,0.013624,138.367096,102.183566,1.867291,238.037248,152.647878
threshold,interstitial,0.09600,-1.57080,14,3.562198,17.795156,6.874941,2.919862,24.740524,11.139826,0.903933,32.240779,15.280928,0.072304,43.733481,19.203405,0.671876,58.147048,25.109813,2.031939,75.354492,36.632324,0.647649,96.877609,58.648954,-4.589875,137.458923,93.190537,-0.108036,232.948431,145.043098
threshold,interstitial,0.09600,-1.57080,15,4.348684,14.015641,7.665416,0.461593,21.503931,11.824167,0.497094,28.780806,16.917001,-2.306680,42.793014,21.140241,-2.850449,61.157531,27.472261,-2.931652,80.273512,40.932091,-1.950708,101.226632,66.469045,-2.089792,135.661444,102.629156,0.320175,232.135215,148.325982
threshold,interstitial,0.09600,-1.57080,16,-5.141268,23.517157,6.461358,-4.772108,30.201275,11.063290,-4.686267,39.825277,15.035987,-4.041407,53.611050,19.036919,-3.775769,70.024069,25.691393,-3.339600,90.450624,37.340386,-4.616959,114.976693,61.051030,-8.128110,148.508113,100.910195,-0.017186,242.099336,151.495846
threshold,interstitial,0.09600,-1.57080,17,7.259181,24.384140,6.275458,5.960304,27.937864,10.734680,5.745379,35.430905,14.855932,5.431288,46.288042,18.961296,3.613886,59.776720,25.463954,2.239319,78.701209,37.501985,3.701532,101.542024,59.364234,1.312896,134.367020,96.346462,1.537753,233.993583,145.516747
threshold,interstitial,0.09600,-1.57080,18,-2.430787,18.024022,6.829596,-0.922695,26.802042,10.503635,-0.218127,35.889079,14.043715,-0.686142,48.855656,17.208853,-1.488303,63.184625,22.839850,-1.996341,84.032493,32.283512,-0.331882,107.817307,53.286000,0.966366,145.973864,90.423751,1.342430,243.401127,137.598145
threshold,interstitial,0.09600,-1.57080,19,0.144103,24.512065,6.153109,-1.120466,32.134173,10.485872,-1.967240,41.358610,14.503206,-3.311442,54.235775,18.998492,-4.269594,71.863160,25.830098,-4.817555,89.884171,38.725493,-5.171584,112.598309,61.302769,-5.252291,147.296195,97.320832,1.876464,244.579769,142.241400
threshold,interstitial,0.09600,-1.57080,20,-0.000000,25.954539,6.181385,-0.409228,30.617155,9.925526,0.275252,38.184267,14.062046,0.720640,48.132224,19.008558,1.763981,65.740382,25.371592,2.366233,81.636191,39.511356,0.660347,109.306940,60.068376,-0.466848,139.484353,104.893234,-0.431887,235.663253,152.652962
threshold,interstitial,0.09600,-1.57080,21,-2.036767,13.810738,7.567265,-3.191067,21.396087,11.799553,-3.674191,32.142931,14.915552,-3.876553,46.241901,17.964874,-3.641237,61.515849,23.308181,-3.238968,77.814477,34.171276,-1.925019,99.850993,54.288323,-0.918292,134.082722,92.666531,2.094818,230.306669,140.009476
