fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
compact,0.15708,1,90.000000,5.437704,4.274870,-56.309932,7.220572,6.841565,-63.434949,9.099367,8.815919,-85.692176,11.378303,10.295246,-84.697495,13.396735,12.473264,-87.460196,16.312247,14.539191,-84.959701,20.368160,17.258495,-85.597765,34.112066,19.109247,-85.147641,72.399694,26.289461
compact,0.15708,2,90.000000,5.437704,4.274870,-71.565051,7.023769,6.690697,-79.572771,9.486634,8.100592,90.000000,11.612518,9.620381,-81.631849,13.600297,11.501007,-85.922977,15.837951,13.666049,-85.486999,19.503943,15.738720,-84.374969,26.644477,18.789532,-84.920444,56.479545,23.610676
compact,0.15708,3,-63.434949,5.189733,4.033196,-83.244244,7.133973,6.258122,-74.810437,9.645563,7.343071,-81.650378,11.051149,9.440941,-87.789969,12.936498,11.102372,-81.706331,15.203264,13.053426,-83.637822,17.971062,15.446735,-84.005064,24.585084,17.731787,-85.721303,51.294437,21.400883
compact,0.15708,4,90.000000,5.437704,4.274870,-69.459802,7.646677,6.188195,90.000000,9.893215,7.740129,-84.435405,11.620846,9.393315,-80.126582,13.522966,11.276409,-81.250726,15.960942,13.083531,-82.112664,19.222003,15.026579,-85.355043,24.439636,18.038905,-86.193213,51.387643,22.879367
compact,0.15708,5,-63.434949,5.474022,4.641536,-75.127559,8.014705,6.734835,-80.968814,10.673459,8.285978,-80.259997,13.392147,9.595596,-80.942966,15.731564,11.495613,-78.294993,18.703915,13.498554,-79.773134,22.889933,16.097924,-84.268887,32.663872,18.699999,-83.586196,66.441379,24.536283
compact,0.15708,6,-78.801201,5.401104,4.512088,-56.309932,7.503845,6.755814,90.000000,9.484130,8.839306,-86.969106,12.066610,10.397842,-85.971169,14.809827,11.970991,90.000000,17.339447,14.402991,-87.175133,21.782536,16.963861,-85.168212,33.902637,18.982401,-84.481583,69.024498,26.945777
compact,0.15708,7,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-88.681450,10.605862,7.569673,-84.907983,12.284228,9.551803,-81.728508,14.407641,11.310921,90.000000,17.152688,13.190478,-86.841090,20.885312,15.421066,-85.995470,29.002086,18.279103,-87.651281,64.586382,23.595009
compact,0.15708,8,-80.782526,6.318475,4.544040,-88.539850,9.191484,6.529120,-76.013120,11.436550,8.561459,-83.396036,14.612725,9.975300,-81.327886,16.950469,12.191808,-80.051321,20.628556,14.218909,-82.246486,25.883393,16.738042,-84.334265,39.772905,18.721590,-84.296984,81.868898,25.715334
compact,0.15708,9,-78.801201,5.401104,4.512088,-56.309932,7.503845,6.755814,-87.948746,10.025788,8.543821,-80.614340,12.443214,10.075903,-85.792463,14.998010,11.812574,-79.342580,17.503198,14.195795,-87.616681,21.540977,16.901375,-87.153955,34.009676,18.882676,-85.294253,65.656749,25.861101
compact,0.15708,10,-78.801201,5.401104,4.512088,-70.206484,7.491907,6.957585,-86.437492,10.093894,8.374593,-78.655607,12.681212,9.875406,-86.166185,15.105842,11.538642,-83.171928,17.547848,13.795522,-85.271643,21.514640,16.352637,-84.565472,30.885204,19.096344,-85.013653,68.203898,25.174666
