fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
diffuse,0.19199,1,-16.699244,15.616301,14.993623,-81.931483,65.295285,23.334104,-83.048308,77.520922,26.008945,-84.361210,83.921004,29.030166,-84.568493,100.665094,35.120548,-84.486605,127.749159,42.240844,-83.979428,176.559623,55.508595,-84.432115,260.374782,79.494991,-86.710055,424.723005,116.961056
diffuse,0.19199,2,30.929695,20.956026,16.457116,-88.657953,73.919199,19.765273,-86.534771,83.393732,23.796998,-84.890171,89.620397,27.706308,-84.792318,105.415980,33.885544,-84.407702,129.364291,42.402422,-83.946201,178.012282,55.937247,-85.156026,264.598169,77.931280,-86.964691,429.818663,116.783652
diffuse,0.19199,3,18.434949,12.627520,12.419797,87.214913,50.922629,22.279242,87.160040,69.503727,25.252990,-87.589033,76.350451,28.325991,-86.169241,91.909657,32.925831,-84.805847,120.175501,39.052862,-84.862334,163.221342,52.536600,-85.215030,249.224186,74.218313,-86.577653,416.427629,114.212460
diffuse,0.19199,4,-45.000000,13.740245,13.132170,-76.279529,66.736350,17.011706,-80.120857,84.856600,20.436343,-82.388189,89.863059,24.513800,-83.149393,102.649630,30.935539,-83.608205,124.216097,38.567239,-83.236209,161.817701,52.858235,-83.764551,252.225274,73.526499,-86.125726,417.153766,114.986103
diffuse,0.19199,5,3.223481,12.612396,12.029304,-88.413301,41.523262,24.532816,-84.852131,70.868921,25.108078,-83.843532,81.944475,26.642940,-83.565777,97.465352,32.087321,-83.832705,121.156999,39.428528,-84.801834,163.395360,51.987684,-84.341822,243.451579,74.702011,-86.754862,420.094397,112.740158
diffuse,0.19199,6,18.761335,17.579714,15.507249,-80.171153,72.060900,19.916358,-84.033320,87.235481,22.057262,-85.283774,92.628061,26.561559,-85.162030,106.579487,33.351831,-84.000754,132.461010,40.818175,-84.403870,176.471134,54.991815,-84.429706,262.303592,78.396024,-86.524827,425.206133,118.754085
diffuse,0.19199,7,-11.293655,17.078248,15.830414,-88.616130,79.535092,17.788321,-87.324783,88.271395,21.354573,-85.502624,91.999201,25.252011,-85.011166,103.691519,31.932784,-84.804537,126.830231,39.726770,-84.112968,168.885450,53.544779,-84.232272,260.055188,73.811134,-86.428699,427.730532,113.716135
diffuse,0.19199,8,78.406438,10.911613,9.462472,71.756994,20.083573,17.937814,-87.022951,81.331955,19.889170,-87.547605,85.637395,23.966275,-85.476764,96.173644,29.993914,-84.768447,119.630183,37.067024,-84.923613,156.582060,50.436093,-84.157224,240.243153,71.875339,-86.890382,417.509784,109.950118
diffuse,0.19199,9,19.755256,16.526567,15.107844,-83.276378,71.577824,22.239611,-86.358794,82.678748,24.668071,-86.090696,87.067304,27.937239,-85.454959,103.461514,33.698378,-84.542435,129.794341,41.213516,-84.700899,173.939603,56.157892,-84.101615,260.007044,78.978113,-87.498711,425.471820,118.738747
diffuse,0.19199,10,38.065157,15.931534,15.008641,-83.970939,54.035103,19.148870,-84.765967,77.470772,20.980151,-84.837766,91.132150,25.780783,-84.578054,105.343959,32.332546,-84.408657,129.785236,39.882938,-84.507862,178.305547,52.112824,-84.595224,261.011684,74.396154,-87.223224,425.121184,114.308755
diffuse,0.19199,11,10.218290,16.827334,15.456920,89.306555,65.984558,20.157470,-88.709974,76.064673,22.472759,-85.075247,87.235613,25.941107,-84.039913,101.011930,31.944949,-84.272321,123.265390,39.660059,-84.445572,166.333431,53.373164,-83.991114,250.959735,75.215966,-86.406104,414.865268,114.577555
diffuse,0.19199,12,-29.744881,15.974980,15.637562,-83.960019,88.406804,16.984691,-84.878131,89.497961,22.482606,-84.981200,89.589803,27.209498,-84.738671,107.426278,33.237959,-83.920719,132.944367,40.919150,-85.145676,180.075963,53.732930,-84.099792,265.301614,76.602312,-87.158546,425.873028,116.613947
diffuse,0.19199,13,26.174003,16.131520,15.258742,-82.655080,83.598206,18.160025,-85.218269,88.232231,23.162610,-84.225764,89.730626,27.204591,-83.728162,99.033066,33.895678,-83.483361,127.108438,40.951289,-83.536522,172.344208,54.445177,-84.809850,261.497822,75.738481,-86.056522,426.492494,114.792007
diffuse,0.19199,14,36.448636,13.479885,12.455012,-84.408847,71.132593,18.839451,-83.522069,83.808584,24.310532,-83.851714,85.544035,28.131754,-84.275126,97.226904,33.320644,-84.442682,124.124440,40.338601,-83.900138,168.773411,52.917914,-84.094102,252.599462,74.361180,-86.433466,419.547416,114.855074
diffuse,0.19199,15,-71.565051,12.783373,12.369646,-76.878088,63.267329,20.074185,-80.496978,78.080550,20.792426,-82.280672,86.991062,25.334621,-83.258701,102.581325,31.544510,-83.774034,126.085417,39.131271,-82.438894,163.564301,53.509899,-83.898180,244.116292,75.905714,-85.577856,411.989116,116.063614
diffuse,0.19199,16,34.968464,16.552089,15.303515,-65.851082,46.775513,24.153466,-80.514042,76.781081,25.025489,-82.598826,87.267976,26.940520,-83.382454,101.704880,32.213765,-83.406872,125.119269,40.244682,-83.537620,165.899303,55.684949,-83.925426,249.746844,76.958107,-85.596145,418.519411,115.536680
diffuse,0.19199,17,-47.313145,20.950427,17.193295,-78.862412,72.077726,21.087562,-80.966857,83.905083,23.387609,-81.865636,88.695612,27.324456,-82.597684,100.672777,34.346417,-83.726450,128.707500,41.505424,-84.458460,173.495656,55.121746,-83.852197,259.770569,77.128480,-86.256366,425.812062,118.631166
diffuse,0.19199,18,2.787862,12.907820,11.525401,87.187623,44.330600,22.840115,-88.144887,69.152314,22.887466,-85.985042,80.620437,25.876658,-84.892013,98.937364,31.036515,-84.063894,122.697363,38.066611,-84.910041,162.382305,52.601907,-84.840993,240.511773,74.335347,-86.868572,420.334517,109.524632
diffuse,0.19199,19,4.932903,13.052538,11.491676,-82.681921,54.426713,20.775832,-84.204480,77.352906,22.385758,-83.488784,84.169198,25.490022,-83.690686,99.754628,31.432746,-84.203553,124.860312,38.510605,-83.941956,163.547855,52.771050,-84.305290,242.984507,76.067444,-86.566300,416.939937,112.641295
diffuse,0.19199,20,22.725569,13.759217,12.031686,-86.377890,65.685139,19.996159,-88.068115,79.171655,22.428030,-86.571986,83.799191,25.936031,-84.668226,93.511049,32.125582,-83.824838,121.078502,38.397899,-84.188253,160.728162,51.313858,-83.649466,245.424927,72.230762,-85.973706,421.388200,110.694253
diffuse,0.19199,21,2.896398,15.248302,14.371973,-84.171454,71.952028,19.581669,-84.872349,79.258794,23.551325,-83.769659,82.244710,27.519179,-83.783547,96.082509,33.193422,-84.076165,124.594556,39.401158,-84.981956,161.274110,55.138964,-84.847356,245.105780,76.652953,-87.011312,412.318776,117.068634
diffuse,0.19199,22,0.582589,15.624264,13.695948,-80.771046,71.820454,19.721705,-80.524826,79.955614,22.186212,-82.103673,86.117737,26.096135,-83.018205,99.850091,32.694744,-83.510304,124.325876,40.575315,-84.241578,167.946649,54.489006,-84.036173,250.838019,77.033126,-86.386761,427.322374,114.604664
diffuse,0.19199,23,71.565051,12.627520,12.419797,-83.104417,75.727668,16.414892,-83.245679,90.414175,18.869408,-83.331999,87.533494,23.818579,-83.807425,97.562343,31.400444,-83.589044,122.229110,38.443570,-84.046725,162.538287,51.771464,-84.053427,246.892933,72.355899,-86.765117,426.770168,110.383323
diffuse,0.19199,24,32.396552,17.182690,14.410059,-88.521269,64.808531,23.094300,-87.638105,79.768949,23.425188,-85.938077,88.152308,26.821857,-84.968655,101.640192,33.019561,-84.605835,125.329349,40.696289,-83.895037,170.272544,53.653133,-84.295753,251.048101,76.665219,-86.408358,417.941713,116.131050
diffuse,0.19199,25,81.402832,34.819695,24.820930,-85.051405,77.575176,25.233855,-85.739914,83.167285,27.326980,-84.716124,88.110640,29.734880,-84.372102,102.832919,35.371449,-84.424384,130.639461,42.758659,-84.764793,177.012627,56.976570,-84.668890,264.574848,81.195476,-86.368088,424.576636,119.650847
diffuse,0.19199,26,-13.727571,15.380934,14.646526,-89.465566,66.618561,20.361915,-88.802726,76.975105,23.786784,-85.957989,84.338180,27.242314,-85.152354,101.211538,33.316141,-84.714947,130.572779,39.621050,-85.103474,174.520463,52.706765,-85.090423,258.799504,75.510948,-87.102433,422.692339,114.940792
