fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
interstitial,0.59341,1,-68.444626,37.607747,7.298847,-68.581230,40.167942,10.012888,-68.458847,48.892827,13.022480,-69.048900,61.298680,16.888947,-69.273237,82.494499,21.290183,-69.882948,109.502920,29.719044,-70.502971,142.776292,46.192512,-71.060200,202.571281,70.939824,-71.709289,329.278048,118.065970
interstitial,0.59341,2,-71.530520,30.293027,6.301414,-69.941370,37.521149,10.016184,-70.306939,47.560088,13.742726,-70.592802,63.692471,17.060949,-70.176400,83.952669,22.045380,-69.668421,115.496269,30.312360,-69.659560,157.588704,45.753666,-71.578004,208.648398,73.957369,-72.826356,340.898523,119.034105
interstitial,0.59341,3,-70.775385,26.726396,5.647774,-71.396592,33.994213,9.645538,-71.348127,41.510566,13.839135,-70.935915,56.470604,17.105044,-70.548104,77.906412,21.057714,-71.211028,110.139822,27.515910,-70.980003,147.379083,42.112511,-72.147227,199.838289,69.851413,-72.784559,325.549646,115.338179
interstitial,0.59341,4,-65.454805,20.588650,6.380811,-65.657035,30.794472,9.754201,-65.715952,41.016135,13.185100,-66.360731,59.808298,15.398045,-66.895179,79.664044,19.182042,-67.675973,109.634544,25.001475,-68.478712,143.829624,38.814279,-70.987827,189.054656,67.503355,-69.671827,318.352810,110.908515
interstitial,0.59341,5,-66.716721,35.936848,6.568414,-65.390931,39.224442,9.422257,-65.352451,48.470965,12.951967,-64.763700,61.842819,16.692380,-64.916367,84.186095,20.823423,-66.911826,114.344974,28.497473,-68.707692,150.282306,44.335759,-68.049310,201.547890,73.110756,-70.153442,338.154662,116.165683
interstitial,0.59341,6,-64.406780,27.631000,5.591321,-65.504264,36.901579,9.169837,-65.900351,46.830591,12.495428,-65.978124,60.423426,15.753077,-66.254588,79.361464,19.762337,-67.413182,103.991593,26.823947,-68.655053,139.594587,41.260840,-70.150011,190.838257,70.276783,-70.384053,322.172936,115.957344
interstitial,0.59341,7,-62.727423,35.632931,6.174408,-63.593913,37.816202,9.461620,-64.417671,46.247091,13.284020,-65.730390,61.987997,16.445057,-66.345025,82.740106,20.823677,-67.536715,106.790657,28.961361,-68.780644,142.787934,43.022197,-72.264632,206.306428,67.361150,-71.051224,330.513040,116.191088
interstitial,0.59341,8,-66.329596,27.317685,6.105776,-66.385206,35.875742,10.264181,-66.266134,47.828922,13.817172,-66.740176,65.248016,16.878224,-66.905296,87.669902,21.111392,-67.533128,113.279123,29.488734,-68.458507,150.325649,45.376315,-71.199214,206.640692,71.479740,-70.644751,345.642442,114.004372
interstitial,0.59341,9,-70.028557,37.343635,5.183784,-69.287877,40.154540,9.097423,-69.789572,47.453792,12.971228,-70.362530,61.290948,16.167970,-70.003933,76.946346,21.355028,-70.733259,104.830498,28.546157,-71.124409,149.600353,41.813237,-71.487688,203.443966,69.084242,-72.668943,333.815837,114.822962
interstitial,0.59341,10,-68.303293,40.566942,6.931934,-68.348225,41.399318,9.987300,-68.522340,53.235305,12.799218,-67.995399,68.116741,16.080692,-67.699448,88.264883,20.400319,-67.696352,113.351684,28.584646,-68.640803,145.765855,44.064079,-70.389919,210.864526,67.538828,-70.261702,333.337533,116.976856
interstitial,0.59341,11,-73.800080,17.762164,7.897143,-73.335165,29.188478,11.280946,-71.988476,40.890882,14.720738,-71.530568,57.266165,18.162744,-71.103307,78.359688,22.796076,-70.721749,109.613200,30.428204,-70.558184,152.249431,44.898560,-70.957616,211.779731,67.978157,-71.753217,334.008998,115.750750
