fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,1.18680,1,-32.361139,11.192134,6.076471,-33.804169,17.265787,8.732215,-33.638244,22.348213,11.410473,-34.305271,28.561259,13.986305,-35.250515,35.339583,17.483741,-36.440777,47.454846,21.086255,-37.160480,66.162290,27.162543,-38.593761,99.124537,43.075913,-38.683989,177.013708,82.621234
patchy,1.18680,2,-32.831875,9.390156,6.102085,-29.413866,14.694586,8.768843,-29.521844,19.371492,11.449379,-30.742868,25.063322,14.025762,-30.142746,32.195945,17.508062,-31.172371,45.621396,21.351209,-32.057417,67.033045,28.292084,-34.639191,103.600787,43.815269,-36.023806,183.907227,80.599266
patchy,1.18680,3,-45.000000,8.136228,5.921407,-41.070728,12.680458,8.753289,-37.846019,17.380373,11.084057,-38.781708,23.295202,13.259625,-37.314880,31.011808,15.691427,-37.159040,42.249230,18.923140,-36.976746,62.604632,23.321002,-39.278440,98.634824,34.956867,-39.139529,170.962714,72.605854
patchy,1.18680,4,-39.115856,7.662360,6.024763,-33.875488,11.371134,9.008965,-41.766271,15.646260,11.417111,-43.136890,20.862095,13.878501,-37.621031,28.506293,16.568589,-36.895412,40.908075,19.822160,-36.570458,60.109642,25.743984,-37.579891,93.432403,38.761404,-38.805554,167.043033,76.439300
patchy,1.18680,5,-33.764756,12.160918,5.653510,-34.041460,17.409302,8.528229,-34.758643,22.077251,11.440987,-33.976401,28.019351,14.233476,-34.576777,36.933453,17.043548,-34.209681,49.982383,20.703651,-34.617191,71.746420,26.632520,-36.630046,103.306616,42.453128,-36.430183,176.479076,82.933883
patchy,1.18680,6,-40.200548,11.078064,6.014854,-38.654605,17.339983,8.270796,-38.157757,21.638744,11.280890,-38.588506,27.375244,13.793697,-38.058247,34.105909,16.889992,-39.159316,43.908752,21.083117,-39.459804,61.242935,27.663546,-38.147091,89.568732,43.492367,-39.424405,168.818682,82.682664
patchy,1.18680,7,-32.037549,9.666551,6.042627,-36.022948,15.131219,8.587927,-36.128395,19.985374,11.243033,-37.277186,25.966944,13.664694,-37.452503,33.983795,16.206221,-38.097819,45.576567,19.530800,-37.871249,63.663231,25.367614,-36.676575,96.391646,39.488463,-37.734095,172.982474,77.961273
patchy,1.18680,8,-40.694527,7.989794,6.475327,-43.192017,12.516727,9.242050,-38.761548,17.232280,11.637038,-39.920332,22.403664,14.254835,-37.265384,29.876979,16.866340,-37.864590,41.375133,19.846842,-37.722309,59.151404,25.085631,-36.859356,94.472736,37.503684,-36.248937,169.424141,74.567704
patchy,1.18680,9,-33.835672,9.111660,6.161972,-33.654399,14.184690,9.151954,-32.624520,18.815191,11.924205,-36.592295,24.542918,14.662955,-35.648858,32.452236,17.723317,-36.683389,45.233250,21.165134,-37.008947,64.072308,27.601131,-37.487306,97.120178,41.388819,-38.604372,176.830414,78.730946
patchy,1.18680,10,-35.147354,13.909714,5.569295,-33.808767,19.943800,8.439912,-35.434279,25.194103,11.234877,-35.374316,31.260929,14.111179,-36.711809,39.090897,17.338322,-36.540746,50.625096,21.745562,-37.675497,68.760141,29.256797,-37.609540,105.045512,45.654021,-37.818589,185.722002,85.087879
patchy,1.18680,11,-45.000000,11.640824,6.330101,-41.957811,17.731521,9.348348,-41.983613,23.723122,11.940561,-40.530519,30.479245,14.601141,-39.823832,39.307464,17.645128,-38.871445,51.346399,22.086345,-38.471949,68.945123,30.140699,-38.402830,104.671093,44.998695,-38.620838,187.630902,85.705590
patchy,1.18680,12,-45.000000,8.574344,6.501043,-40.268839,13.677207,9.316254,-42.262700,18.895605,11.806555,-40.201732,24.726583,14.454267,-38.654422,33.609698,17.030668,-36.706532,48.724582,19.232575,-36.313278,67.495338,23.960102,-37.263409,98.230806,37.068381,-36.795406,176.263078,75.367666
patchy,1.18680,13,-37.877500,11.946091,4.685408,-37.047649,16.048249,7.315462,-38.435369,20.521508,9.483233,-36.331440,24.424277,12.020686,-37.199483,29.954969,14.725255,-36.666521,39.020980,17.654699,-36.160363,55.815068,22.027589,-36.386554,87.102031,33.914839,-36.060681,160.677667,69.163560
patchy,1.18680,14,-33.875488,9.484157,6.434150,-37.575774,14.828380,9.448874,-38.587949,20.133040,12.272422,-39.804667,27.316322,14.778884,-38.006764,36.184186,17.847347,-37.566770,47.610485,22.916111,-35.888119,69.531282,29.802363,-36.848760,102.997849,45.556613,-37.349255,185.307434,81.458583
patchy,1.18680,15,-41.193451,11.830386,5.755243,-39.854867,18.167617,8.222837,-39.605154,22.911580,11.020989,-39.451564,28.541418,13.890213,-38.239755,36.294567,17.145813,-37.705347,50.341720,20.353267,-36.884177,69.642134,26.949481,-37.446032,102.272721,43.248691,-38.483204,181.260569,82.091798
patchy,1.18680,16,-34.526265,13.818592,5.044703,-33.974469,18.610059,8.160194,-31.995484,23.129565,10.882612,-32.486776,28.280013,13.697459,-32.586391,35.455687,16.822602,-32.224871,47.585959,20.494323,-34.047243,69.096731,26.823101,-37.877923,103.017086,43.720811,-37.856776,182.772941,82.478680
patchy,1.18680,17,-39.115856,7.662360,6.024763,-28.764404,11.548152,9.047103,-30.957399,15.414545,11.832693,-31.451540,21.001124,14.169979,-30.012938,28.980348,16.533878,-28.540164,42.294606,18.811305,-30.119015,60.849039,24.213320,-33.564391,91.554639,38.092155,-34.515836,161.080734,73.578753
patchy,1.18680,18,-38.610475,11.102789,6.119961,-37.147979,16.907230,8.784080,-35.416645,21.812462,11.571887,-35.378171,27.521984,14.223808,-36.010563,34.831164,17.268831,-35.248564,46.957926,20.590617,-34.523385,65.578738,26.581781,-35.909586,100.082692,41.839574,-38.231458,179.397223,81.811753
patchy,1.18680,19,-32.706117,10.502898,6.437286,-31.586063,17.065780,8.827318,-33.439576,22.403447,11.495877,-34.612253,28.969446,14.130272,-35.118378,37.859705,17.046775,-35.798956,52.128562,20.441712,-36.572327,73.002153,26.396051,-38.660107,109.403710,40.656005,-38.253608,185.213099,81.842832
patchy,1.18680,20,-45.000000,8.574344,6.501043,-40.077765,13.962901,9.133522,-40.931473,18.828469,11.784894,-37.835717,24.226175,14.517420,-36.274505,31.675394,17.561138,-33.392083,44.189430,20.997514,-33.436640,65.844160,26.242311,-33.714139,98.831324,41.580265,-34.986483,176.019229,80.797026
patchy,1.18680,21,-32.883503,9.572854,6.241114,-35.256935,14.556010,9.262763,-34.203368,19.408456,12.004226,-30.736597,25.453637,14.712504,-30.048397,33.857566,17.569956,-30.784304,47.438156,20.815791,-31.561035,69.507949,26.508833,-33.801400,102.082320,42.097569,-34.921306,172.982197,82.982973
patchy,1.18680,22,-39.296724,10.622520,6.721175,-35.264468,16.652389,9.682387,-35.794770,22.049927,12.722962,-36.764786,29.428416,15.346439,-36.451594,39.770180,18.062334,-36.348521,52.714464,22.231777,-36.200630,74.021643,29.075354,-33.796914,105.634050,48.140240,-36.772313,187.083882,87.843862
patchy,1.18680,23,-39.137444,10.426346,6.386040,-36.317938,16.430847,9.035102,-36.305041,22.107892,11.720987,-37.334915,29.116137,14.095601,-35.969736,37.604203,17.034409,-35.616421,50.902520,20.587837,-35.882020,71.593682,27.240044,-36.863020,105.920045,43.534390,-37.400774,183.914638,82.430177
patchy,1.18680,24,-37.534291,8.058717,6.282304,-40.412937,13.000461,8.925224,-34.580672,17.311997,11.630441,-34.297175,23.211535,13.976335,-33.703032,31.923682,16.226736,-33.539624,45.075000,19.033486,-34.927765,64.930125,24.826448,-38.355451,97.673656,39.908029,-36.789127,174.325284,76.531660
patchy,1.18680,25,-33.872242,10.221695,6.119437,-35.547451,15.118357,9.178486,-34.988675,20.348712,11.649468,-33.864696,26.291777,14.260722,-33.030867,33.516622,17.803734,-34.108649,48.232724,21.083002,-34.476304,68.665481,27.066779,-37.198555,98.946943,42.057489,-37.635923,178.414465,79.781607
patchy,1.18680,26,-37.949166,10.911080,5.269917,-39.074116,15.735022,7.929033,-39.903840,20.239021,10.455399,-39.434563,25.384730,12.951648,-38.607985,32.184867,15.837014,-39.084258,44.139635,19.088753,-40.232707,65.580097,24.324386,-40.131411,99.369815,38.407619,-40.202631,169.739443,77.175162
