fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90,fibro_type
compact,1,80.279983,6.840402,4.869863,90.0,9.717214,7.327822,82.887018,13.212955,9.128592,89.241293,16.183213,11.170062,86.637424,19.891813,13.247204,87.678285,25.050004,15.451263,86.884298,34.704576,17.627915,86.698566,57.176834,20.746701,85.826548,107.749219,33.834072,compact
compact,2,85.306012,7.401119,5.267626,83.477181,11.611788,7.20806,89.017437,14.932558,9.274257,87.282261,18.595111,11.229023,86.120758,22.585857,13.475943,87.030135,28.606073,15.729991,85.865117,38.843799,18.419476,85.389579,61.753091,21.815972,85.5501,121.535145,35.513444,compact
compact,3,80.279983,6.840402,4.869863,74.810437,9.645563,7.343071,83.760464,13.035297,9.161359,81.80523,16.009896,11.29719,81.505156,19.670718,13.323838,82.997913,24.114531,16.289614,85.550843,35.332367,18.374651,85.058175,58.072883,21.432543,84.919299,113.527823,35.247017,compact
compact,4,90.0,6.124316,4.998551,83.37974,9.097676,6.967929,81.483938,11.50413,9.379242,82.87048,14.550225,11.287551,85.940247,17.754148,13.628742,88.220238,22.43037,16.260422,86.665153,33.218063,18.155112,86.752845,54.869444,20.77754,85.784036,110.130747,33.329846,compact
compact,5,69.18323,6.456001,5.125106,74.810437,9.645563,7.343071,84.127183,12.663181,9.453268,80.506188,15.26025,12.034965,82.804101,19.158037,14.234543,85.279097,25.397991,16.337671,85.699611,36.123048,18.453742,86.854112,57.530732,21.794068,86.10105,115.301853,35.504977,compact
compact,6,69.862607,6.785132,5.031406,82.789613,9.841227,7.501537,81.379463,12.948252,9.545253,81.965941,15.847989,11.744594,81.967174,19.404959,14.185246,83.824454,24.904739,16.48156,85.174347,35.379422,18.543249,85.5641,54.833955,22.101046,85.221257,106.883419,36.009527,compact
compact,7,69.18323,6.456001,5.125106,74.810437,9.645563,7.343071,84.127183,12.663181,9.453268,80.506188,15.26025,12.034965,84.483428,19.024739,14.207865,82.08705,24.807363,16.552654,84.392495,35.839442,18.518248,85.360987,57.452543,22.008479,85.670149,109.099904,36.736613,compact
compact,8,81.127664,7.415379,5.101338,90.0,11.219946,7.448972,86.226359,13.971681,10.066298,87.186255,17.306756,12.515349,85.721998,22.228799,14.339017,84.83518,28.96684,16.388434,84.472502,39.559037,18.728465,84.346495,59.848734,23.008961,85.243149,120.783366,37.428833,compact
compact,9,81.127664,7.415379,5.101338,88.162582,11.403744,7.452857,88.999253,14.953519,9.440641,88.733221,18.661876,11.468514,88.426288,22.840369,13.734676,87.168549,28.092595,16.517343,85.061019,38.51343,19.265031,83.772627,61.540224,23.364037,85.050527,120.882709,38.317403,compact
compact,10,83.133089,7.829179,5.035161,83.477181,11.611788,7.20806,90.0,14.921184,9.190948,87.760944,18.320263,11.189376,86.472473,21.853397,13.39734,88.645817,27.212358,15.533712,86.933749,35.434211,18.536197,85.38828,55.633135,22.548174,85.209013,113.253926,36.012158,compact
compact,11,82.027302,8.944025,4.849698,87.481643,13.119614,7.085617,86.981582,16.209465,9.268377,87.097306,19.800113,11.318477,86.980465,23.942599,13.458525,87.961493,29.553334,15.793748,87.120844,37.656961,19.421082,85.084972,62.241148,22.762283,84.827844,114.353347,37.583514,compact
compact,12,84.47953,8.233888,4.967514,84.621016,12.159746,7.115345,83.746811,15.591168,9.128521,84.932858,19.404081,10.954343,85.356404,23.121767,13.096201,86.392655,27.946818,15.637849,85.978406,35.800505,19.04347,85.305556,58.4189,22.173591,85.065276,112.010051,35.358611,compact
compact,13,75.981585,7.242139,5.044063,84.996615,11.010659,7.258008,83.502902,14.392068,9.303376,81.717705,17.540169,11.394858,81.556503,21.217557,13.758914,83.386249,26.396083,16.230524,85.80929,36.435917,18.755558,86.225262,57.86589,22.194177,85.335243,110.031855,34.986387,compact
compact,14,75.981585,7.242139,5.044063,83.37974,10.819934,7.275985,81.9579,14.465582,9.071564,80.7241,17.780342,11.025371,81.783531,21.336836,13.122872,83.43278,26.233528,15.447742,82.780969,33.67895,18.755606,84.737928,55.63611,21.692305,84.444591,109.690802,33.763327,compact
